Label,Tweet,Tweet_clean
0,"Mau gudeg mbak Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.","['gudeg', 'amad', 'foto', 'google', 'sengaja', 'teman', 'teman', 'bayang', 'bagi', 'indah']"
0,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun, lancar, antrian tidak terlalu rame,15 menitan dan beres semua! Mungkin bisa dicoba di jam-jam segitu [USERNAME]","['bagi', 'alam', 'kemarin', 'jam', 'batal', 'tiket', 'stasiun', 'lancar', 'antri', 'ramai', 'menit', 'selesai', 'coba', 'jam', 'jam']"
0,Bener bener ketawa ga habis habis gue Inget aja lomba balap karung balap kelereng balap makan kerupuk balap tusuk balon Hrus di puter puter  [URL],"['ketawa', 'habis', 'habis', 'lomba', 'balap', 'karung', 'balap', 'kelereng', 'balap', 'makan', 'kerupuk', 'balap', 'tusuk', 'balon', 'putar', 'putar']"
0,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas ampe ga keliatan mbaknya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ","['bank', 'ramai', 'banget', 'antri', 'duduk', 'luar', 'toko', 'emas', 'liat', 'jual', 'swalayan', 'antri', 'kasir', 'naudzubilah', 'bahagia', 'moga', 'moga', 'rumah', 'sakit', 'sepi', 'pasien', 'sembuh', 'pulang', 'bahagia']"
0,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,"['senyum', 'hidup', 'sempurna', 'syukur', 'tuhan']"
0,"Hmmm ya mungkin seneng kalo dikasih kado, tapi kalo buatku dia inget aja tanggal lahirku atau anniv wes bahagia rasanya.  #pekaitupenting","['senang', 'kasih', 'kado', 'buat', 'tanggal', 'lahir', 'bahagia']"
0,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,"['pakai', 'kirim', 'paket', 'beli', 'toko', 'online', 'jasa', 'titip', 'kota', 'beda', 'pulau', 'maksimal', 'pakai', 'mobil', 'susah', 'cari', 'alamat', 'bingung', 'masuk', 'kompleks', 'gang', 'malam', 'bain', 'jalan', 'rumah', 'paket', 'kirim']"
0,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong karir pake sepatu trus pergi, ketemu alam dan berdamai dengannya,","['libur', 'lebaran', 'cepat', 'gendong', 'karir', 'pakai', 'sepatu', 'pergi', 'ketemu', 'alam', 'damai', 'dengan']"
0,"btw doa restu orang tua itu emang gila ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadhan [URL]","['omong', 'omong', 'doa', 'restu', 'orang', 'tua', 'gila', 'mentok', 'cari', 'literatur', 'tambah', 'ketemu', 'rumah', 'kemarin', 'panik', 'pesan', 'banyumas', 'berkah', 'ramadhan']"
0,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ","['semangat', 'ngobrol', 'orang', 'kreatif', 'cengang', 'ide', 'pikir', 'oleh', 'pikir']"
0,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk masa depan yang cerah dan indah.","['lewat', 'bayang', 'betapa', 'sulit', 'lalu', 'ajar', 'ajar', 'ajar', 'petik', 'hikmah', 'petik', 'cerah', 'indah']"
0,Dari zaman SD juga temenku cowok nih salah satunya yang dulu suka main sampe desa sebelah yang di seberang kali wkwk dan suka bikin prakarya padahal berantakin rumah dan sampe jualan lotre yak dulu pen ngakak kalau inget ini [USERNAME],"['zaman', 'teman', 'cowok', 'salah', 'satu', 'suka', 'main', 'desa', 'belah', 'seberang', 'suka', 'bikin', 'prakarya', 'beranta', 'rumah', 'jual', 'lotre', 'ketawa']"
0,"Alhamdulillah Prof, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. Aamiin Yaa Rabbal 'Aalamiin.","['alhamdulillah', 'profesor', 'bicara', 'malam', 'adem', 'moga', 'bawa', 'berkah', 'amin', 'rabbal', 'aalamiin']"
0,"Keren!! Kira-kira masih ada nggak yg bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas umat lain. Kl ada yg masih bilang Beliau an","['keren', 'bilang', 'anti', 'islam', 'triliun', 'hektar', 'kampus', 'rujuk', 'islam', 'dunia', 'kelas', 'al', 'azhar', 'proyek', 'madrasah', 'masjid', 'fasilitas', 'umat', 'bilang', 'beliau']"
0,"Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]","['segenap', 'dewan', 'guru', 'terima', 'kasih', 'bimbing', 'anak', 'moga', 'mudah', 'urus', 'ilmu', 'ajar', 'amal', 'jariah', 'pahala', 'alir']"
